date,YEAR,MONTH,MAX,MIN,DTR,AW,RF,EVP,DRNRF,SSH,RF_3d,RF_7d,MAX_3d_avg,MIN_3d_avg,DTR_3d_avg,RF_lag1,MAX_lag1,MIN_lag1,LABEL_lag1,MONTH_sin,MONTH_cos,DOY_sin,DOY_cos,SEASON,HA_flag,RF_nonzero,LABEL,T850,T700,T500,Td850,Td700,KI,TT,CT,VT,SI,LI,CAPE,wind_shear
2024-12-14,2024,12,26.6,18.8,7.800000000000001,2.0,0.4,5.0,0.0,360.0,4.7,4.699999999999936,24.03333333333333,19.633333333333336,4.4,4.7,24.2,19.8,0,-2.4492935982947064e-16,1.0,-0.2719581575341052,0.9623090774541488,0,0,1,0,17.611050000000034,10.787740000000042,-5.250999999999976,1.6828014858656388,-0.5206536931637515,13.236457792701856,29.795851485865622,6.933801485865615,22.86205000000001,10.992260004463446,-0.028125,1.125,2.944393850451425
2024-12-15,2024,12,26.6,16.6,10.0,2.0,0.0,5.0,0.0,360.0,5.1000000000000005,5.099999999999937,24.26666666666667,19.5,4.766666666666667,0.4,26.6,18.8,0,-2.4492935982947064e-16,1.0,-0.2553532951161881,0.9668478136052772,0,0,0,0,16.108150000000023,11.466000000000008,-3.242159999999956,1.440730779907824,-2.4016749017907277,6.923365878117068,24.03320077990776,4.68289077990778,19.35030999999998,14.078575450717608,-0.0,0.0,1.722717915155653
2024-12-16,2024,12,27.2,15.5,11.7,2.0,0.0,5.0,0.0,360.0,5.1000000000000005,5.099999999999937,25.8,18.40000000000001,7.399999999999999,0.0,26.6,16.6,0,-2.4492935982947064e-16,1.0,-0.2386727660059499,0.9711000518829505,0,0,0,0,17.107700000000023,12.5616,-3.3082299999999805,1.3050120717147706,-2.7687511113448977,6.390590960369877,25.029172071714758,4.613242071714751,20.415930000000003,13.470457779549974,-0.0,0.0,6.854821929799064
2024-12-17,2024,12,28.3,15.5,12.8,2.0,0.0,5.0,0.0,360.0,0.4,5.099999999999937,26.8,16.96666666666667,9.833333333333334,0.0,27.2,15.5,0,-2.4492935982947064e-16,1.0,-0.2219215130041667,0.9750645322571944,0,0,0,0,18.921350000000015,10.771450000000016,-3.428169999999966,1.6779378559925815,-1.0239828028078364,12.232025053184714,27.45562785599253,5.106107855992548,22.349519999999984,12.02445339524246,-0.0,0.0,3.654843668452548
2024-12-18,2024,12,26.3,18.4,7.900000000000002,2.0,0.0,5.0,0.0,360.0,0.0,5.099999999999937,27.36666666666667,15.866666666666667,11.5,0.0,28.3,15.5,0,-2.4492935982947064e-16,1.0,-0.2051044998686192,0.9787400799669153,0,0,0,0,17.714500000000044,10.24362000000002,-3.22829999999999,1.943133979766685,0.4518342765115903,13.094148256278288,26.11423397976671,5.171433979766675,20.942800000000037,12.793397063055636,-0.0,0.0,2.623957348231509
2024-12-19,2024,12,27.5,19.4,8.100000000000001,2.0,0.0,5.0,0.0,360.0,0.0,5.099999999999937,27.26666666666667,16.46666666666667,10.800000000000002,0.0,26.3,18.4,0,-2.4492935982947064e-16,1.0,-0.1882267098432439,0.9821256058680006,0,0,0,0,19.55026000000004,10.647000000000048,-2.909029999999973,1.8713030281377316,0.8485391672936089,14.532132195431302,27.239623028137714,4.780333028137704,22.45929000000001,12.05443501166394,-0.16875,6.75,1.824100599689933
2024-12-20,2024,12,28.0,20.0,8.0,2.0,0.0,5.0,0.0,360.0,0.0,5.099999999999937,27.36666666666667,17.76666666666667,9.6,0.0,27.5,19.4,0,-2.4492935982947064e-16,1.0,-0.1712931441814778,0.9852201067560606,0,0,0,0,19.15133000000003,10.808500000000038,-3.286869999999965,1.9057296592491757,-0.5079924568499905,13.027437202399142,27.63079965924913,5.19259965924914,22.438199999999995,11.892620000955674,-0.290625,11.625,7.905463371564901
2024-12-21,2024,12,29.7,19.3,10.4,2.0,0.0,5.0,0.0,360.0,0.0,0.3999999999999361,27.26666666666667,19.26666666666667,8.000000000000002,0.0,28.0,20.0,0,-2.4492935982947064e-16,1.0,-0.154308820664281,0.9880226656636976,0,0,0,0,20.282680000000028,10.978049999999996,-2.8414399999999773,1.535813498053301,-2.5373136750445724,11.144569823008736,27.501373498053283,4.377253498053278,23.124120000000005,11.88713458030378,-0.14375,5.75,3.810824922263916
2024-12-22,2024,12,27.8,19.8,8.0,2.0,0.0,5.0,0.0,360.0,0.0,0.0,28.4,19.566666666666663,8.833333333333334,0.0,29.7,19.3,0,-2.4492935982947064e-16,1.0,-0.1372787721132651,0.9905324521322229,0,0,0,0,19.86962,9.25036,-2.6708399999999983,1.548853409951903,-1.1987840318932967,13.640169378058602,26.760153409951897,4.219693409951901,22.54046,12.29314644515,-0.34375,13.75,0.8818759445809315
2024-12-23,2024,12,27.1,19.4,7.700000000000003,2.0,0.0,5.0,0.0,360.0,0.0,0.0,28.5,19.700000000000003,8.799999999999999,0.0,27.8,19.8,0,-2.4492935982947064e-16,1.0,-0.1202080448993527,0.9927487224577402,0,0,0,0,17.869380000000035,10.15640000000002,-2.388699999999972,1.6796593218305134,-0.2866862492425071,11.494653072587994,24.32643932183049,4.068359321830485,20.258080000000007,13.698642502674716,-0.64375,25.75,3.395343631146654
2024-12-24,2024,12,27.9,17.1,10.799999999999995,2.0,0.0,5.0,0.0,360.0,0.0,0.0,28.200000000000003,19.500000000000004,8.700000000000001,0.0,27.1,19.4,0,-2.4492935982947064e-16,1.0,-0.1031016974474354,0.9946708199115212,0,0,0,0,19.56400000000002,10.51030000000003,-1.5106999999999855,1.4622667365227926,-2.744236275618789,9.28243046090398,24.047666736522785,2.9729667365227783,21.074700000000007,13.68551940627026,-0.26875,10.75,0.7534246578475586
