date,YEAR,MONTH,MAX,MIN,DTR,AW,RF,EVP,DRNRF,SSH,RF_3d,RF_7d,MAX_3d_avg,MIN_3d_avg,DTR_3d_avg,RF_lag1,MAX_lag1,MIN_lag1,LABEL_lag1,MONTH_sin,MONTH_cos,DOY_sin,DOY_cos,SEASON,HA_flag,RF_nonzero,LABEL
2015-10-11,2015,10,29.5,21.3,8.2,4.0,0.0,4.7,0.0,90.0,4.199999999999986,29.699999999999992,29.466666666666665,20.666666666666668,8.799999999999999,0.0,29.4,20.5,0,-0.8660254037844386,0.5000000000000001,-0.9844738167520923,0.17553149042142777,3,0,0,0
2015-10-12,2015,10,29.4,20.4,9.0,1.0,8.0,5.0,55.0,192.0,0.0,26.499999999999993,29.23333333333333,20.8,8.433333333333332,0.0,29.5,21.3,0,-0.8660254037844386,0.5000000000000001,-0.9813064702716093,0.19245158197082995,3,0,1,0
2015-10-13,2015,10,29.2,21.3,7.899999999999999,0.0,0.0,5.5,0.0,150.0,7.999999999999986,23.599999999999994,29.433333333333326,20.733333333333334,8.7,8.0,29.4,20.4,0,-0.8660254037844386,0.5000000000000001,-0.9778483415056568,0.20931464596304888,3,0,0,0
2015-10-14,2015,10,31.0,19.6,11.399999999999999,1.0,0.0,6.0,0.0,414.0,7.999999999999986,18.89999999999999,29.36666666666666,21.000000000000004,8.366666666666665,0.0,29.2,21.3,0,-0.8660254037844386,0.5000000000000001,-0.9741004551724206,0.22611568550828803,3,0,0,0
2015-10-15,2015,10,32.1,19.7,12.400000000000002,1.0,0.0,6.3,0.0,516.0,7.999999999999986,12.199999999999992,29.86666666666666,20.433333333333334,9.433333333333332,0.0,31.0,19.6,0,-0.8660254037844386,0.5000000000000001,-0.970063921851507,0.2428497220959358,3,0,0,0
2015-10-16,2015,10,31.5,20.2,11.3,0.0,0.0,4.7,0.0,294.0,0.0,7.999999999999992,30.766666666666662,20.200000000000003,10.566666666666666,0.0,32.1,19.7,0,-0.8660254037844386,0.5000000000000001,-0.965739937654855,0.25951179706979943,3,0,0,0
2015-10-17,2015,10,31.4,21.0,10.399999999999999,1.0,0.0,6.0,0.0,498.0,0.0,7.999999999999992,31.53333333333333,19.833333333333336,11.700000000000001,0.0,31.5,20.2,0,-0.8660254037844386,0.5000000000000001,-0.9611297838723007,0.27609697309746883,3,0,0,0
2015-10-18,2015,10,31.3,20.6,10.7,1.0,0.0,6.0,0.0,462.0,0.0,7.999999999999992,31.66666666666666,20.3,11.366666666666667,0.0,31.4,21.0,0,-0.8660254037844386,0.5000000000000001,-0.9562348265919058,0.2926003356333479,3,0,0,0
2015-10-19,2015,10,31.8,20.6,11.2,1.0,0.0,6.8,0.0,498.0,0.0,7.999999999999992,31.399999999999995,20.6,10.799999999999999,0.0,31.3,20.6,0,-0.8660254037844386,0.5000000000000001,-0.9510565162951536,0.30901699437494723,3,0,0,0
2015-10-20,2015,10,31.4,21.5,9.899999999999999,1.0,0.0,5.6,0.0,498.0,0.0,0.0,31.499999999999996,20.733333333333338,10.766666666666666,0.0,31.8,20.6,0,-0.8660254037844386,0.5000000000000001,-0.9455963874271428,0.3253420847119795,3,0,0,0
2015-10-21,2015,10,31.0,21.1,9.899999999999999,1.0,0.0,5.5,0.0,420.0,0.0,0.0,31.499999999999996,20.900000000000002,10.6,0.0,31.4,21.5,0,-0.8660254037844386,0.5000000000000001,-0.9398560579418953,0.341570769167856,3,0,0,0
2015-10-22,2015,10,30.6,20.0,10.600000000000001,1.0,0.0,6.1,0.0,384.0,0.0,0.0,31.399999999999995,21.06666666666667,10.333333333333332,0.0,31.0,21.1,0,-0.8660254037844386,0.5000000000000001,-0.9338372288229252,0.35769823883312546,3,0,0,0
2015-10-23,2015,10,31.2,18.4,12.8,1.0,0.0,5.8,0.0,540.0,0.0,0.0,30.999999999999996,20.86666666666667,10.133333333333333,0.0,30.6,20.0,0,-0.8660254037844386,0.5000000000000001,-0.9275416835791965,0.3737197147904692,3,0,0,0
2015-10-24,2015,10,31.0,19.7,11.3,1.0,0.0,6.7,0.0,582.0,0.0,0.0,30.933333333333326,19.833333333333336,11.1,0.0,31.2,18.4,0,-0.8660254037844386,0.5000000000000001,-0.9209712877166346,0.38963044953078774,3,0,0,0
2015-10-25,2015,10,31.8,17.8,14.0,1.0,0.0,7.0,0.0,552.0,0.0,0.0,30.933333333333326,19.36666666666667,11.566666666666668,0.0,31.0,19.7,0,-0.8660254037844386,0.5000000000000001,-0.9141279881853337,0.4054257283599973,3,0,0,0
2015-10-26,2015,10,29.8,20.0,9.8,1.0,0.0,6.0,0.0,486.0,0.0,0.0,31.33333333333333,18.633333333333336,12.700000000000001,0.0,31.8,17.8,0,-0.8660254037844386,0.5000000000000001,-0.9070138128026362,0.42110087079608916,3,0,0,0
2015-10-27,2015,10,29.6,20.6,9.0,1.0,0.0,6.0,0.0,420.0,0.0,0.0,30.86666666666666,19.166666666666668,11.700000000000001,0.0,29.8,20.0,0,-0.8660254037844386,0.5000000000000001,-0.8996308696522434,0.4366512319560638,3,0,0,0
2015-10-28,2015,10,29.4,20.6,8.799999999999997,0.0,0.0,5.1,5.0,270.0,0.0,0.0,30.399999999999995,19.466666666666672,10.933333333333332,0.0,29.6,20.6,0,-0.8660254037844386,0.5000000000000001,-0.8919813464595487,0.45207220393230374,3,0,0,1
2015-10-29,2015,10,30.5,19.7,10.8,1.0,6.0,6.0,25.0,318.0,0.0,0.0,29.599999999999994,20.400000000000002,9.2,0.0,29.4,20.6,1,-0.8660254037844386,0.5000000000000001,-0.8840675099433637,0.46735921715800205,3,0,1,0
2015-10-30,2015,10,29.6,20.5,9.100000000000001,1.0,0.0,6.1,0.0,450.0,5.999999999999986,5.999999999999992,29.83333333333333,20.3,9.533333333333333,6.0,30.5,19.7,0,-0.8660254037844386,0.5000000000000001,-0.8758917051442433,0.48250774176121763,3,0,0,0
2015-10-31,2015,10,30.8,20.6,10.2,0.0,0.0,6.2,0.0,522.0,5.999999999999986,5.999999999999992,29.83333333333333,20.26666666666667,9.566666666666666,0.0,29.6,20.5,0,-0.8660254037844386,0.5000000000000001,-0.8674563547295971,0.4975132889071803,3,0,0,0
2015-11-01,2015,11,29.5,21.7,7.800000000000001,1.0,0.0,4.7,0.0,354.0,5.999999999999986,5.999999999999992,30.299999999999997,20.26666666666667,10.033333333333333,0.0,30.8,20.6,0,-0.5000000000000004,0.8660254037844384,-0.8587639582758031,0.5123714121284235,3,0,0,0
2015-11-02,2015,11,27.8,21.2,6.600000000000001,1.0,1.4,5.4,35.0,96.0,0.0,5.999999999999992,29.966666666666665,20.933333333333334,9.033333333333333,0.0,29.5,21.7,0,-0.5000000000000004,0.8660254037844384,-0.8498170915275277,0.5270777086423724,3,0,1,1
2015-11-03,2015,11,30.9,19.5,11.399999999999999,1.0,95.3,4.1,410.0,210.0,1.3999999999999857,7.3999999999999915,29.36666666666666,21.16666666666667,8.200000000000001,1.4,27.8,21.2,1,-0.5000000000000004,0.8660254037844384,-0.8406184056344783,0.5416278206559811,3,0,1,1
2015-11-04,2015,11,27.1,20.2,6.900000000000002,1.0,7.2,5.4,190.0,138.0,96.69999999999999,102.69999999999999,29.399999999999995,20.8,8.6,95.3,30.9,19.5,1,-0.5000000000000004,0.8660254037844384,-0.8311706263658079,0.5560174366570446,3,0,1,1
2015-11-05,2015,11,28.7,19.6,9.099999999999998,0.0,33.4,4.5,140.0,276.0,103.89999999999999,109.89999999999999,28.599999999999994,20.3,8.3,7.2,27.1,20.2,1,-0.5000000000000004,0.8660254037844384,-0.8214765533024145,0.5702422926917867,3,0,1,0
2015-11-06,2015,11,27.6,20.1,7.5,0.0,0.0,5.2,0.0,342.0,135.89999999999998,137.29999999999998,28.899999999999995,19.76666666666667,9.133333333333333,33.4,28.7,19.6,0,-0.5000000000000004,0.8660254037844384,-0.8115390590073611,0.5842981736283683,3,0,0,0
2015-11-07,2015,11,29.2,20.1,9.099999999999998,0.0,0.0,5.7,0.0,468.0,40.59999999999999,137.29999999999998,27.799999999999994,19.966666666666672,7.833333333333333,0.0,27.6,20.1,0,-0.5000000000000004,0.8660254037844384,-0.801361088174677,0.5981809144059159,3,0,0,0
2015-11-08,2015,11,28.5,19.3,9.2,0.0,0.0,5.1,0.0,450.0,33.399999999999984,137.29999999999998,28.499999999999996,19.933333333333337,8.566666666666665,0.0,29.2,20.1,0,-0.5000000000000004,0.8660254037844384,-0.7909456567567774,0.6118864012687242,3,0,0,0
2015-11-09,2015,11,27.3,20.5,6.800000000000001,2.0,0.0,4.6,10.0,78.0,0.0,137.29999999999998,28.433333333333326,19.83333333333334,8.6,0.0,28.5,19.3,0,-0.5000000000000004,0.8660254037844384,-0.780295851070776,0.6254105729852457,3,0,0,0
2015-11-10,2015,11,21.5,18.2,3.3000000000000007,2.0,45.6,3.0,990.0,0.0,0.0,135.89999999999998,28.33333333333333,19.96666666666667,8.366666666666665,0.0,27.3,20.5,0,-0.5000000000000004,0.8660254037844384,-0.7694148268839381,0.6387494220515268,3,0,1,0
2015-11-11,2015,11,20.4,18.8,1.5999999999999979,5.0,21.1,3.7,965.0,0.0,45.59999999999999,86.19999999999999,25.766666666666662,19.333333333333336,6.433333333333334,45.6,21.5,18.2,0,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125,3,0,1,0
2015-11-12,2015,11,22.3,19.7,2.6000000000000014,1.0,2.9,3.3,90.0,0.0,66.69999999999999,100.1,23.066666666666663,19.166666666666668,3.9,21.1,20.4,18.8,0,-0.5000000000000004,0.8660254037844384,-0.7469720876965551,0.6648553979642866,3,0,1,0
2015-11-13,2015,11,24.6,17.0,7.600000000000001,1.0,14.2,3.9,220.0,30.0,69.6,69.59999999999998,21.399999999999995,18.900000000000002,2.5,2.9,22.3,19.7,0,-0.5000000000000004,0.8660254037844384,-0.7354170229639858,0.6776147890466887,3,0,1,0
2015-11-14,2015,11,22.5,16.1,6.399999999999999,0.0,0.1,4.0,10.0,0.0,38.19999999999999,83.8,22.433333333333326,18.500000000000004,3.9333333333333336,14.2,24.6,17.0,0,-0.5000000000000004,0.8660254037844384,-0.7236440382959123,0.690173388242972,3,0,1,0
2015-11-15,2015,11,24.8,18.7,6.100000000000001,1.0,0.0,4.0,10.0,0.0,17.199999999999985,83.89999999999998,23.13333333333333,17.6,5.533333333333334,0.1,22.5,16.1,0,-0.5000000000000004,0.8660254037844384,-0.7116566222817751,0.7025274741691566,3,0,0,0
2015-11-16,2015,11,20.9,17.1,3.799999999999997,2.0,8.8,2.8,100.0,0.0,14.299999999999985,83.89999999999998,23.966666666666665,17.26666666666667,6.7,0.0,24.8,18.7,0,-0.5000000000000004,0.8660254037844384,-0.6994583270516471,0.7146733860429609,3,0,1,0
2015-11-17,2015,11,21.7,18.2,3.5,3.0,10.9,2.3,0.0,0.0,8.899999999999986,92.69999999999999,22.73333333333333,17.3,5.433333333333333,8.8,20.9,17.1,0,-0.5000000000000004,0.8660254037844384,-0.6870527672236675,0.726607524768565,3,0,1,0
2015-11-18,2015,11,21.5,18.9,2.6000000000000014,3.0,1.1,2.2,50.0,0.0,19.69999999999999,57.999999999999986,22.466666666666658,18.000000000000004,4.466666666666666,10.9,21.7,18.2,0,-0.5000000000000004,0.8660254037844384,-0.6744436188329457,0.7383263540031063,3,0,1,0
2015-11-19,2015,11,23.2,19.5,3.6999999999999993,1.0,14.4,1.8,390.0,0.0,20.799999999999986,37.999999999999986,21.36666666666666,18.06666666666667,3.2999999999999994,1.1,21.5,18.9,0,-0.5000000000000004,0.8660254037844384,-0.661634618242279,0.749826401204568,3,0,1,0
2015-11-20,2015,11,24.6,20.4,4.200000000000003,1.0,0.4,4.5,0.0,72.0,26.399999999999984,49.499999999999986,22.133333333333326,18.86666666666667,3.266666666666667,14.4,23.2,19.5,0,-0.5000000000000004,0.8660254037844384,-0.6486295610349818,0.7611042586607742,3,0,1,0
2015-11-21,2015,11,26.4,19.6,6.799999999999997,2.0,14.3,3.0,167.0,132.0,15.899999999999986,35.69999999999998,23.099999999999994,19.6,3.5000000000000013,0.4,24.6,20.4,0,-0.5000000000000004,0.8660254037844384,-0.6354323008901775,0.7721565844991641,3,0,1,0
2015-11-22,2015,11,25.5,20.0,5.5,1.0,1.1,3.1,15.0,150.0,29.099999999999987,49.899999999999984,24.73333333333333,19.833333333333336,4.8999999999999995,14.3,26.4,19.6,0,-0.5000000000000004,0.8660254037844384,-0.622046748440868,0.7829801036770625,3,0,1,0
2015-11-23,2015,11,24.4,18.9,5.5,1.0,5.3,2.8,170.0,54.0,15.799999999999986,50.999999999999986,25.499999999999996,20.000000000000004,5.5,1.1,25.5,20.0,0,-0.5000000000000004,0.8660254037844384,-0.6084768701151264,0.7935716089521472,3,0,1,0
2015-11-24,2015,11,25.1,18.4,6.700000000000003,1.0,15.7,3.5,369.0,84.0,20.69999999999999,47.499999999999986,25.433333333333326,19.500000000000004,5.933333333333333,5.3,24.4,18.9,0,-0.5000000000000004,0.8660254037844384,-0.594726686960764,0.8039279618328208,3,0,1,0
2015-11-25,2015,11,25.4,17.5,7.899999999999999,1.0,0.0,4.1,0.0,36.0,22.099999999999987,52.29999999999999,24.999999999999996,19.1,5.900000000000001,15.7,25.1,18.4,0,-0.5000000000000004,0.8660254037844384,-0.5808002734538013,0.8140460935082175,3,0,0,0
2015-11-26,2015,11,27.5,17.7,9.8,1.0,0.0,4.6,0.0,245.0,20.999999999999986,51.19999999999999,24.966666666666658,18.26666666666667,6.7,0.0,25.4,17.5,0,-0.5000000000000004,0.8660254037844384,-0.5667017562911184,0.8239230057575536,3,0,0,0
2015-11-27,2015,11,28.0,19.7,8.3,0.0,0.0,4.9,10.0,312.0,15.699999999999985,36.79999999999999,25.999999999999996,17.86666666666667,8.133333333333335,0.0,27.5,17.7,0,-0.5000000000000004,0.8660254037844384,-0.5524353131676203,0.8335557718385695,3,0,0,0
2015-11-28,2015,11,28.9,16.4,12.5,1.0,0.0,4.9,0.0,486.0,0.0,36.39999999999999,26.966666666666658,18.3,8.666666666666666,0.0,28.0,19.7,0,-0.5000000000000004,0.8660254037844384,-0.5380051715382992,0.8429415373547832,3,0,0,0
2015-11-29,2015,11,29.3,17.4,11.900000000000002,1.0,0.0,5.4,0.0,96.0,0.0,22.099999999999987,28.133333333333326,17.933333333333334,10.200000000000001,0.0,28.9,16.4,0,-0.5000000000000004,0.8660254037844384,-0.5234156073655503,0.8520775211013093,3,0,0,0
2015-11-30,2015,11,25.2,19.7,5.5,1.0,3.2,3.6,80.0,96.0,0.0,20.999999999999986,28.73333333333333,17.833333333333336,10.9,0.0,29.3,17.4,0,-0.5000000000000004,0.8660254037844384,-0.5086709438521042,0.8609610158889945,3,0,1,0
2015-12-01,2015,12,26.3,19.4,6.900000000000002,1.0,0.2,5.0,10.0,48.0,3.199999999999986,18.899999999999984,27.799999999999994,17.833333333333332,9.966666666666667,3.2,25.2,19.7,0,-2.4492935982947064e-16,1.0,-0.49377555015997737,0.8695893893466109,0,0,1,0
2015-12-02,2015,12,23.8,19.6,4.199999999999999,1.0,1.0,5.6,135.0,0.0,3.399999999999986,3.399999999999986,26.933333333333326,18.833333333333332,8.100000000000001,0.2,26.3,19.4,0,-2.4492935982947064e-16,1.0,-0.4787338401157883,0.8779600847008883,0,0,1,0
2015-12-03,2015,12,23.9,18.9,5.0,1.0,2.9,3.7,180.0,30.0,4.399999999999986,4.399999999999986,25.099999999999994,19.566666666666666,5.533333333333334,1.0,23.8,19.6,0,-2.4492935982947064e-16,1.0,-0.4635502709028512,0.8860706215341378,0,0,1,0
2015-12-04,2015,12,24.9,18.0,6.899999999999999,1.0,0.4,3.2,10.0,138.0,4.099999999999985,7.299999999999986,24.66666666666666,19.3,5.366666666666667,2.9,23.9,18.9,0,-2.4492935982947064e-16,1.0,-0.4482293417404106,0.893918596519257,0,0,1,0
2015-12-05,2015,12,27.8,17.9,9.900000000000002,2.0,0.0,4.7,0.0,396.0,4.299999999999986,7.699999999999986,24.2,18.83333333333334,5.366666666666666,0.4,24.9,18.0,0,-2.4492935982947064e-16,1.0,-0.4327755925504317,0.9015016841318838,0,0,0,0
2015-12-06,2015,12,27.1,18.4,8.700000000000003,1.0,0.0,4.8,0.0,360.0,3.299999999999985,7.699999999999986,25.533333333333328,18.266666666666666,7.266666666666667,0.0,27.8,17.9,0,-2.4492935982947064e-16,1.0,-0.41719360261231697,0.9088176373395028,0,0,0,0
2015-12-07,2015,12,27.3,17.5,9.8,1.0,0.0,3.4,0.0,156.0,0.3999999999999858,7.699999999999986,26.599999999999994,18.100000000000005,8.500000000000002,0.0,27.1,18.4,0,-2.4492935982947064e-16,1.0,-0.4014879892059737,0.9158642882672868,0,0,0,0
2015-12-08,2015,12,28.7,17.0,11.7,1.0,0.0,4.6,0.0,402.0,0.0,4.499999999999986,27.399999999999995,17.933333333333337,9.466666666666669,0.0,27.3,17.5,0,-2.4492935982947064e-16,1.0,-0.38566340624360745,0.9226395488404875,0,0,0,0
2015-12-09,2015,12,28.2,18.4,9.8,1.0,0.0,4.0,0.0,222.0,0.0,4.299999999999986,27.7,17.633333333333336,10.066666666666668,0.0,28.7,17.0,0,-2.4492935982947064e-16,1.0,-0.3697245428906732,0.9291414114031743,0,0,0,0
2015-12-10,2015,12,25.8,20.1,5.699999999999999,1.0,0.6,5.0,45.0,132.0,0.0,3.299999999999985,28.066666666666663,17.633333333333336,10.433333333333334,0.0,28.2,18.4,0,-2.4492935982947064e-16,1.0,-0.35367612217637207,0.935367949313148,0,0,1,0
2015-12-11,2015,12,24.3,18.6,5.699999999999999,1.0,0.0,4.4,0.0,18.0,0.5999999999999858,0.9999999999999858,27.566666666666663,18.500000000000004,9.066666666666666,0.6,25.8,20.1,0,-2.4492935982947064e-16,1.0,-0.33752289959411347,0.941317317512847,0,0,0,0
2015-12-12,2015,12,28.7,20.0,8.7,1.0,0.0,4.8,0.0,384.0,0.5999999999999858,0.5999999999999858,26.099999999999994,19.033333333333335,7.066666666666666,0.0,24.3,18.6,0,-2.4492935982947064e-16,1.0,-0.32126966169236515,0.9469877530760751,0,0,0,0
2015-12-13,2015,12,30.2,20.6,9.599999999999998,1.0,0.0,6.2,0.0,198.0,0.5999999999999858,0.5999999999999858,26.266666666666662,19.566666666666666,6.699999999999999,0.0,28.7,20.0,0,-2.4492935982947064e-16,1.0,-0.3049212246562894,0.9523775757303973,0,0,0,0
2015-12-14,2015,12,30.9,19.6,11.299999999999997,1.0,0.0,6.5,0.0,491.0,0.0,0.5999999999999858,27.73333333333333,19.733333333333338,7.999999999999999,0.0,30.2,20.6,0,-2.4492935982947064e-16,1.0,-0.2884824328806098,0.9574851883550389,0,0,0,0
2015-12-15,2015,12,29.9,20.0,9.899999999999999,2.0,0.0,6.3,0.0,198.0,0.0,0.5999999999999858,29.933333333333326,20.066666666666666,9.866666666666665,0.0,30.9,19.6,0,-2.4492935982947064e-16,1.0,-0.27195815753410524,0.9623090774541487,0,0,0,0
2015-12-16,2015,12,29.8,19.0,10.8,1.0,0.0,5.6,0.0,408.0,0.0,0.5999999999999858,30.333333333333325,20.066666666666666,10.266666666666664,0.0,29.9,20.0,0,-2.4492935982947064e-16,1.0,-0.2553532951161881,0.9668478136052773,0,0,0,0
2015-12-17,2015,12,30.3,16.4,13.900000000000002,2.0,0.0,5.3,0.0,324.0,0.0,0.5999999999999858,30.199999999999992,19.533333333333335,10.666666666666666,0.0,29.8,19.0,0,-2.4492935982947064e-16,1.0,-0.23867276600594997,0.9711000518829505,0,0,0,0
2015-12-18,2015,12,28.6,17.4,11.200000000000003,2.0,0.0,5.0,0.0,528.0,0.0,0.0,29.999999999999996,18.46666666666667,11.533333333333333,0.0,30.3,16.4,0,-2.4492935982947064e-16,1.0,-0.22192151300416674,0.9750645322571945,0,0,0,0
2015-12-19,2015,12,26.7,18.9,7.800000000000001,2.0,0.0,5.0,0.0,336.0,0.0,0.0,29.566666666666663,17.599999999999998,11.966666666666669,0.0,28.6,17.4,0,-2.4492935982947064e-16,1.0,-0.20510449986861926,0.9787400799669153,0,0,0,0
2015-12-20,2015,12,28.2,18.8,9.399999999999999,2.0,0.0,4.8,0.0,456.0,0.0,0.0,28.53333333333333,17.566666666666666,10.966666666666669,0.0,26.7,18.9,0,-2.4492935982947064e-16,1.0,-0.1882267098432439,0.9821256058680006,0,0,0,0
2015-12-21,2015,12,28.4,18.3,10.099999999999998,2.0,0.0,4.6,0.0,402.0,0.0,0.0,27.83333333333333,18.36666666666667,9.466666666666667,0.0,28.2,18.8,0,-2.4492935982947064e-16,1.0,-0.1712931441814778,0.9852201067560606,0,0,0,0
2015-12-22,2015,12,28.8,16.8,12.0,1.0,0.0,5.0,0.0,396.0,0.0,0.0,27.766666666666662,18.666666666666668,9.1,0.0,28.4,18.3,0,-2.4492935982947064e-16,1.0,-0.154308820664281,0.9880226656636976,0,0,0,0
2015-12-23,2015,12,29.2,17.9,11.3,1.0,0.0,4.9,0.0,504.0,0.0,0.0,28.466666666666658,17.966666666666672,10.499999999999998,0.0,28.8,16.8,0,-2.4492935982947064e-16,1.0,-0.13727877211326517,0.9905324521322227,0,0,0,0
2015-12-24,2015,12,28.0,17.3,10.7,1.0,0.0,5.0,0.0,438.0,0.0,0.0,28.799999999999994,17.666666666666668,11.133333333333333,0.0,29.2,17.9,0,-2.4492935982947064e-16,1.0,-0.12020804489935275,0.9927487224577402,0,0,0,0
2015-12-25,2015,12,29.3,16.3,13.0,1.0,0.0,4.8,0.0,438.0,0.0,0.0,28.66666666666666,17.333333333333332,11.333333333333334,0.0,28.0,17.3,0,-2.4492935982947064e-16,1.0,-0.10310169744743544,0.9946708199115211,0,0,0,0
2015-12-26,2015,12,28.2,18.2,10.0,1.0,0.0,4.4,0.0,491.0,0.0,0.0,28.83333333333333,17.166666666666668,11.666666666666666,0.0,29.3,16.3,0,-2.4492935982947064e-16,1.0,-0.0859647987374467,0.9962981749346077,0,0,0,0
2015-12-27,2015,12,27.7,17.9,9.8,1.0,0.0,4.8,0.0,378.0,0.0,0.0,28.499999999999996,17.26666666666667,11.233333333333334,0.0,28.2,18.2,0,-2.4492935982947064e-16,1.0,-0.06880242680232064,0.9976303053065857,0,0,0,0
2015-12-28,2015,12,26.2,17.2,9.0,1.0,0.0,4.8,0.0,84.0,0.0,0.0,28.399999999999995,17.46666666666667,10.933333333333332,0.0,27.7,17.9,0,-2.4492935982947064e-16,1.0,-0.05161966722325418,0.9986668162884759,0,0,0,0
