date,year,month,slot,slot_label,MAX,MIN,DTR,AW,RF,EVP,DRNRF,SSH,RF_3d,RF_7d,MAX_3d_avg,MIN_3d_avg,DTR_3d_avg,RF_lag1,MAX_lag1,MIN_lag1,LABEL_lag1,MONTH_sin,MONTH_cos,DOY_sin,DOY_cos,SEASON,HA_flag,RF_nonzero,CAPE,K_INDEX,LIFTED_INDEX,TOTALS_TOTALS,PRECIP_WATER,ERA5_T2M,ERA5_D2M,ERA5_U10,ERA5_V10,ERA5_CAPE,ERA5_SP,ERA5_t_500hPa,ERA5_t_700hPa,ERA5_t_850hPa,ERA5_q_500hPa,ERA5_q_700hPa,ERA5_q_850hPa,ERA5_u_500hPa,ERA5_u_700hPa,ERA5_u_850hPa,ERA5_v_500hPa,ERA5_v_700hPa,ERA5_v_850hPa,slot_sin,slot_cos,slot_month_clim,doy_sin,doy_cos,ts_label_lag1_slot,ts_any_yesterday,ts_label
2015-01-07,2015,1,0,0001-0600,27.0,17.4,9.6,1.0,0.0,4.5,0.0,330.0,0.0,1.4,28.4,18.666666666666668,9.733333333333334,0.0,28.1,18.6,0.0,0.4999999999999999,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.0,0.0,0.0,0.0,-1.4826162135772163,1.937945320201152,35.981837063279045,15.57779998275196,299.74768,288.31213,0.35203552,-0.91967773,0.0,91557.75,269.72064,284.4984,292.69223,0.00028291118,0.00088438694,0.008777071,-6.36586,0.9484558,0.20176697,-10.367935,-5.963974,-1.9576416,0.0,1.0,0.0,0.1202080448993527,0.9927487224577402,0,0,0
2015-01-07,2015,1,1,0601-1200,27.0,17.4,9.6,1.0,0.0,4.5,0.0,330.0,0.0,1.4,28.4,18.666666666666668,9.733333333333334,0.0,28.1,18.6,0.0,0.4999999999999999,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.0,0.0,0.0,0.0,-1.4826162135772163,1.937945320201152,35.981837063279045,15.57779998275196,299.74768,288.31213,0.35203552,-0.91967773,0.0,91557.75,269.72064,284.4984,292.69223,0.00028291118,0.00088438694,0.008777071,-6.36586,0.9484558,0.20176697,-10.367935,-5.963974,-1.9576416,1.0,6.123233995736766e-17,0.0,0.1202080448993527,0.9927487224577402,0,0,0
2015-01-07,2015,1,2,1201-1800,27.0,17.4,9.6,1.0,0.0,4.5,0.0,330.0,0.0,1.4,28.4,18.666666666666668,9.733333333333334,0.0,28.1,18.6,0.0,0.4999999999999999,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.0,0.0,0.0,0.0,-1.4826162135772163,1.937945320201152,35.981837063279045,15.57779998275196,299.74768,288.31213,0.35203552,-0.91967773,0.0,91557.75,269.72064,284.4984,292.69223,0.00028291118,0.00088438694,0.008777071,-6.36586,0.9484558,0.20176697,-10.367935,-5.963974,-1.9576416,1.2246467991473532e-16,-1.0,0.0,0.1202080448993527,0.9927487224577402,0,0,0
2015-01-07,2015,1,3,1801-2400,27.0,17.4,9.6,1.0,0.0,4.5,0.0,330.0,0.0,1.4,28.4,18.666666666666668,9.733333333333334,0.0,28.1,18.6,0.0,0.4999999999999999,0.8660254037844387,0.1202080448993527,0.9927487224577402,0.0,0.0,0.0,0.0,-1.4826162135772163,1.937945320201152,35.981837063279045,15.57779998275196,299.74768,288.31213,0.35203552,-0.91967773,0.0,91557.75,269.72064,284.4984,292.69223,0.00028291118,0.00088438694,0.008777071,-6.36586,0.9484558,0.20176697,-10.367935,-5.963974,-1.9576416,-1.0,-1.8369701987210297e-16,0.0,0.1202080448993527,0.9927487224577402,0,0,0
2015-01-08,2015,1,0,0001-0600,28.6,17.6,11.0,1.0,0.0,4.2,0.0,414.0,0.0,1.4,27.96666666666667,18.13333333333333,9.833333333333334,0.0,27.0,17.4,0.0,0.4999999999999999,0.8660254037844387,0.1372787721132647,0.9905324521322229,0.0,0.0,0.0,0.625,24.190566163430617,0.4859164048571074,37.58627010041226,21.992723876236347,300.37036,288.88098,-0.43099976,-1.0070648,0.625,91582.19,269.06665,279.6698,292.9568,0.00013537759,0.0044359406,0.008795988,-4.865097,0.46598816,-0.42077637,-14.392975,-2.6791382,-2.0430603,0.0,1.0,0.0,0.13727877211326478,0.9905324521322229,0,0,0
2015-01-08,2015,1,1,0601-1200,28.6,17.6,11.0,1.0,0.0,4.2,0.0,414.0,0.0,1.4,27.96666666666667,18.13333333333333,9.833333333333334,0.0,27.0,17.4,0.0,0.4999999999999999,0.8660254037844387,0.1372787721132647,0.9905324521322229,0.0,0.0,0.0,0.625,24.190566163430617,0.4859164048571074,37.58627010041226,21.992723876236347,300.37036,288.88098,-0.43099976,-1.0070648,0.625,91582.19,269.06665,279.6698,292.9568,0.00013537759,0.0044359406,0.008795988,-4.865097,0.46598816,-0.42077637,-14.392975,-2.6791382,-2.0430603,1.0,6.123233995736766e-17,0.0,0.13727877211326478,0.9905324521322229,0,0,0
2015-01-08,2015,1,2,1201-1800,28.6,17.6,11.0,1.0,0.0,4.2,0.0,414.0,0.0,1.4,27.96666666666667,18.13333333333333,9.833333333333334,0.0,27.0,17.4,0.0,0.4999999999999999,0.8660254037844387,0.1372787721132647,0.9905324521322229,0.0,0.0,0.0,0.625,24.190566163430617,0.4859164048571074,37.58627010041226,21.992723876236347,300.37036,288.88098,-0.43099976,-1.0070648,0.625,91582.19,269.06665,279.6698,292.9568,0.00013537759,0.0044359406,0.008795988,-4.865097,0.46598816,-0.42077637,-14.392975,-2.6791382,-2.0430603,1.2246467991473532e-16,-1.0,0.0,0.13727877211326478,0.9905324521322229,0,0,0
2015-01-08,2015,1,3,1801-2400,28.6,17.6,11.0,1.0,0.0,4.2,0.0,414.0,0.0,1.4,27.96666666666667,18.13333333333333,9.833333333333334,0.0,27.0,17.4,0.0,0.4999999999999999,0.8660254037844387,0.1372787721132647,0.9905324521322229,0.0,0.0,0.0,0.625,24.190566163430617,0.4859164048571074,37.58627010041226,21.992723876236347,300.37036,288.88098,-0.43099976,-1.0070648,0.625,91582.19,269.06665,279.6698,292.9568,0.00013537759,0.0044359406,0.008795988,-4.865097,0.46598816,-0.42077637,-14.392975,-2.6791382,-2.0430603,-1.0,-1.8369701987210297e-16,0.0,0.13727877211326478,0.9905324521322229,0,0,0
2015-01-09,2015,1,0,0001-0600,27.6,17.6,10.0,1.0,0.0,5.2,0.0,210.0,0.0,1.4,27.9,17.86666666666667,10.033333333333331,0.0,28.6,17.6,0.0,0.4999999999999999,0.8660254037844387,0.1543088206642811,0.9880226656636976,0.0,0.0,0.0,0.0,-1.93319227233792,1.631519661053744,37.406127733437245,14.949684486017462,299.20282,287.65088,-0.5264282,-0.7102661,0.0,91685.75,268.47296,283.9135,292.0527,0.00014459352,0.00079416414,0.008524559,-8.687454,-5.8945923,-1.2670746,-8.129578,-0.5459137,-1.490982,0.0,1.0,0.0,0.15430882066428117,0.9880226656636976,0,0,0
2015-01-09,2015,1,1,0601-1200,27.6,17.6,10.0,1.0,0.0,5.2,0.0,210.0,0.0,1.4,27.9,17.86666666666667,10.033333333333331,0.0,28.6,17.6,0.0,0.4999999999999999,0.8660254037844387,0.1543088206642811,0.9880226656636976,0.0,0.0,0.0,0.0,-1.93319227233792,1.631519661053744,37.406127733437245,14.949684486017462,299.20282,287.65088,-0.5264282,-0.7102661,0.0,91685.75,268.47296,283.9135,292.0527,0.00014459352,0.00079416414,0.008524559,-8.687454,-5.8945923,-1.2670746,-8.129578,-0.5459137,-1.490982,1.0,6.123233995736766e-17,0.0,0.15430882066428117,0.9880226656636976,0,0,0
2015-01-09,2015,1,2,1201-1800,27.6,17.6,10.0,1.0,0.0,5.2,0.0,210.0,0.0,1.4,27.9,17.86666666666667,10.033333333333331,0.0,28.6,17.6,0.0,0.4999999999999999,0.8660254037844387,0.1543088206642811,0.9880226656636976,0.0,0.0,0.0,0.0,-1.93319227233792,1.631519661053744,37.406127733437245,14.949684486017462,299.20282,287.65088,-0.5264282,-0.7102661,0.0,91685.75,268.47296,283.9135,292.0527,0.00014459352,0.00079416414,0.008524559,-8.687454,-5.8945923,-1.2670746,-8.129578,-0.5459137,-1.490982,1.2246467991473532e-16,-1.0,0.0,0.15430882066428117,0.9880226656636976,0,0,0
2015-01-09,2015,1,3,1801-2400,27.6,17.6,10.0,1.0,0.0,5.2,0.0,210.0,0.0,1.4,27.9,17.86666666666667,10.033333333333331,0.0,28.6,17.6,0.0,0.4999999999999999,0.8660254037844387,0.1543088206642811,0.9880226656636976,0.0,0.0,0.0,0.0,-1.93319227233792,1.631519661053744,37.406127733437245,14.949684486017462,299.20282,287.65088,-0.5264282,-0.7102661,0.0,91685.75,268.47296,283.9135,292.0527,0.00014459352,0.00079416414,0.008524559,-8.687454,-5.8945923,-1.2670746,-8.129578,-0.5459137,-1.490982,-1.0,-1.8369701987210297e-16,0.0,0.15430882066428117,0.9880226656636976,0,0,0
2015-01-10,2015,1,0,0001-0600,27.4,16.5,10.9,1.0,0.0,3.3,0.0,282.0,0.0,0.0,27.73333333333333,17.53333333333333,10.2,0.0,27.6,17.6,0.0,0.4999999999999999,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.0,0.0,0.0,0.0,-13.541410344499296,6.49824109559404,31.535045995892403,9.958605072465776,300.26392,281.63525,-1.2495422,-2.0549011,0.0,91691.31,268.865,283.44226,292.38715,7.634156e-05,0.0004326494,0.005858451,-6.0868073,-4.7508087,-2.94693,-6.3580475,-3.1841278,-4.0279694,0.0,1.0,0.0,0.1712931441814776,0.9852201067560606,0,0,0
2015-01-10,2015,1,1,0601-1200,27.4,16.5,10.9,1.0,0.0,3.3,0.0,282.0,0.0,0.0,27.73333333333333,17.53333333333333,10.2,0.0,27.6,17.6,0.0,0.4999999999999999,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.0,0.0,0.0,0.0,-13.541410344499296,6.49824109559404,31.535045995892403,9.958605072465776,300.26392,281.63525,-1.2495422,-2.0549011,0.0,91691.31,268.865,283.44226,292.38715,7.634156e-05,0.0004326494,0.005858451,-6.0868073,-4.7508087,-2.94693,-6.3580475,-3.1841278,-4.0279694,1.0,6.123233995736766e-17,0.0,0.1712931441814776,0.9852201067560606,0,0,0
2015-01-10,2015,1,2,1201-1800,27.4,16.5,10.9,1.0,0.0,3.3,0.0,282.0,0.0,0.0,27.73333333333333,17.53333333333333,10.2,0.0,27.6,17.6,0.0,0.4999999999999999,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.0,0.0,0.0,0.0,-13.541410344499296,6.49824109559404,31.535045995892403,9.958605072465776,300.26392,281.63525,-1.2495422,-2.0549011,0.0,91691.31,268.865,283.44226,292.38715,7.634156e-05,0.0004326494,0.005858451,-6.0868073,-4.7508087,-2.94693,-6.3580475,-3.1841278,-4.0279694,1.2246467991473532e-16,-1.0,0.0,0.1712931441814776,0.9852201067560606,0,0,0
2015-01-10,2015,1,3,1801-2400,27.4,16.5,10.9,1.0,0.0,3.3,0.0,282.0,0.0,0.0,27.73333333333333,17.53333333333333,10.2,0.0,27.6,17.6,0.0,0.4999999999999999,0.8660254037844387,0.1712931441814776,0.9852201067560606,0.0,0.0,0.0,0.0,-13.541410344499296,6.49824109559404,31.535045995892403,9.958605072465776,300.26392,281.63525,-1.2495422,-2.0549011,0.0,91691.31,268.865,283.44226,292.38715,7.634156e-05,0.0004326494,0.005858451,-6.0868073,-4.7508087,-2.94693,-6.3580475,-3.1841278,-4.0279694,-1.0,-1.8369701987210297e-16,0.0,0.1712931441814776,0.9852201067560606,0,0,0
